treatment;concentration;cells total;phago.cells;ability;Int.1;Int.2;Int.3;Int.>4;capacity
MP;low;9361;2663;28,4478154;328;928;782;390;2,28689448
MP;low;8734;2036;23,31119762;183;632;629;359;2,342829077
MP;low;8997;4378;48,66066467;210;878;1545;1513;2,890132481
MP;high;8557;1781;20,81336917;272;591;466;242;2,144862437
MP;high;8444;3774;44,6944576;200;865;1498;752;2,499205087
MP;high;6891;1638;23,77013496;149;576;517;200;2,22954823
NP;low;8541;1911;22,37442922;314;598;487;266;2,111459969
NP;low;4660;1246;26,73819742;123;395;399;177;2,261637239
NP;low;8991;3269;36,3585808;173;859;1347;626;2,58060569
NP;high;NA;NA;NA;NA;NA;NA;NA;NA
NP;high;8571;2179;25,42293781;202;659;655;305;2,159247361
NP;high;8016;3001;37,43762475;147;617;1072;845;2,658113962
NP+MP;low;8816;1931;21,90335753;272;635;483;280;2,128948731
NP+MP;low;8610;4776;55,47038328;180;870;1744;1573;2,814907873
NP+MP;low;8824;3145;35,64143246;163;943;1263;508;2,502384738
NP+MP;high;2150;342;15,90697674;38;106;91;61;2,242690058
NP+MP;high;8408;2241;26,65318744;224;686;657;309;2,143239625
NP+MP;high;8667;2833;32,68720434;163;778;1166;427;2,444405224
nanosilica;high;8446;1797;21,27634383;229;672;457;220;2,127991096
nanosilica;high;8029;2101;26,1676423;172;651;625;276;2,119466921
nanosilica;high;8438;2311;27,38800664;163;768;831;268;2,277801817
control;none;8534;1755;20,56479963;278;562;430;245;2,092307692
control;none;4857;1626;33,47745522;109;486;584;220;2,283517835
control;none;8483;2414;28,45691383;204;835;783;347;2,324357912
